K=16, W/V=2.9420180, K=16, time:838.091

ca [*] :=
1  16
;

fragment allocation x on node k:

1    2    3    4    5    6    7    8    9    10    11    12    13    14    15    16    
0 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 1 
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 
3 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 
4 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 
5 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 
6 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 
7 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 
8 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 1 
9 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 
10 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 
11 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 
12 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 
13 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 1 
14 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 
15 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 1 
16 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 
17 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
19 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 
20 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
21 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
22 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
24 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
25 0 0 1 1 0 1 1 1 1 1 1 0 0 1 1 1 
26 1 0 1 0 0 1 1 0 0 0 1 0 1 0 1 0 
27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
28 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 
29 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
30 1 1 1 1 0 0 1 1 0 1 1 1 0 1 1 1 
31 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 
32 1 1 1 1 0 0 1 0 0 1 0 0 0 0 0 1 
33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
36 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 
37 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
