K=8, W/V=3.1520838, B=2, time:5.406

ca [*] :=
1  4
2  4
;

1    2    3    4    5    6    7    8    
0 1.00000000 1.00000000 1.00000000 1.00000000 1.00000000 0.00000000 1.00000000 1.00000000 
1 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 
2 1.00000000 1.00000000 1.00000000 1.00000000 1.00000000 0.00000000 1.00000000 0.00000000 
3 1.00000000 1.00000000 1.00000000 1.00000000 1.00000000 0.00000000 1.00000000 0.00000000 
4 1.00000000 1.00000000 1.00000000 1.00000000 1.00000000 0.00000000 1.00000000 0.00000000 
5 1.00000000 1.00000000 1.00000000 1.00000000 1.00000000 0.00000000 1.00000000 0.00000000 
6 1.00000000 1.00000000 1.00000000 1.00000000 1.00000000 0.00000000 1.00000000 0.00000000 
7 1.00000000 1.00000000 1.00000000 1.00000000 1.00000000 0.00000000 1.00000000 0.00000000 
8 1.00000000 1.00000000 1.00000000 1.00000000 1.00000000 0.00000000 1.00000000 1.00000000 
9 1.00000000 1.00000000 1.00000000 1.00000000 1.00000000 0.00000000 1.00000000 0.00000000 
10 1.00000000 1.00000000 1.00000000 1.00000000 1.00000000 0.00000000 1.00000000 0.00000000 
11 1.00000000 1.00000000 1.00000000 1.00000000 1.00000000 0.00000000 1.00000000 0.00000000 
12 1.00000000 1.00000000 1.00000000 1.00000000 1.00000000 0.00000000 1.00000000 0.00000000 
13 1.00000000 1.00000000 1.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 
14 1.00000000 0.00000000 1.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 
15 1.00000000 1.00000000 1.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 
16 1.00000000 0.00000000 1.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 
17 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 
18 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 
19 1.00000000 0.00000000 1.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 
20 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 
21 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 
22 1.00000000 1.00000000 1.00000000 1.00000000 1.00000000 1.00000000 1.00000000 1.00000000 
23 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 
24 1.00000000 1.00000000 1.00000000 1.00000000 1.00000000 1.00000000 1.00000000 1.00000000 
25 1.00000000 1.00000000 1.00000000 1.00000000 0.00000000 1.00000000 1.00000000 1.00000000 
26 1.00000000 1.00000000 1.00000000 0.00000000 1.00000000 1.00000000 1.00000000 1.00000000 
27 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 
28 1.00000000 1.00000000 1.00000000 1.00000000 1.00000000 1.00000000 1.00000000 1.00000000 
29 1.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 
30 1.00000000 1.00000000 1.00000000 1.00000000 1.00000000 1.00000000 1.00000000 1.00000000 
31 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000 1.00000000 1.00000000 1.00000000 
