K=8, W/V=1.8748833, K=8, time:3.071

ca [*] :=
1  8
;

fragment allocation x on node k:

1    2    3    4    5    6    7    8    
0 1 0 1 0 0 0 1 0 
1 0 0 0 0 0 0 0 0 
2 1 0 0 0 0 0 0 0 
3 1 0 0 0 0 0 0 0 
4 1 0 0 0 0 0 0 0 
5 1 0 0 0 0 0 0 0 
6 1 0 0 0 0 0 1 0 
7 1 0 1 0 0 0 1 0 
8 1 0 1 0 0 0 1 0 
9 1 0 0 0 0 0 1 0 
10 1 0 0 0 0 0 0 0 
11 1 0 0 0 0 0 0 0 
12 1 0 0 0 0 0 0 0 
13 1 1 1 0 0 0 0 0 
14 1 0 1 0 0 0 0 0 
15 1 1 1 0 0 0 0 0 
16 1 0 1 0 0 0 0 0 
17 0 0 1 0 0 0 0 0 
18 0 0 1 0 0 0 0 0 
19 1 0 1 0 0 0 0 0 
20 0 0 1 0 0 0 0 0 
21 0 0 1 0 0 0 0 0 
22 1 1 1 1 1 1 1 1 
23 0 0 0 0 0 0 0 0 
24 1 1 1 1 1 1 1 1 
25 1 0 1 1 1 1 1 1 
26 1 1 1 0 1 0 0 1 
27 0 0 0 0 0 0 0 0 
28 1 1 1 1 0 1 1 1 
29 1 0 0 0 0 0 0 0 
30 1 1 1 1 0 1 1 1 
31 1 0 0 0 0 0 0 1 
32 1 0 1 1 0 1 1 0 
33 0 0 0 0 0 0 0 0 
34 0 0 0 0 0 0 0 0 
35 0 0 0 0 0 0 0 0 
36 0 0 1 0 1 1 0 1 
37 0 0 0 1 0 0 0 0 
38 0 0 0 0 0 0 0 0 
39 0 0 0 0 0 0 0 0 
40 0 0 0 0 0 0 0 0 
41 0 0 0 0 0 0 0 0 
42 0 0 0 0 0 0 0 0 
43 0 0 0 0 0 0 0 0 
44 0 0 0 0 0 0 0 0 
45 0 0 0 0 0 0 0 0 
46 0 0 0 0 0 0 0 0 
47 0 0 0 0 0 0 0 0 
48 0 0 0 0 0 0 0 0 
49 0 0 0 0 0 0 0 0 
50 1 1 0 0 0 0 0 0 
51 0 0 0 0 0 0 0 0 
52 1 1 0 0 0 0 0 0 
53 1 0 0 0 0 0 0 0 
54 0 0 0 0 0 0 0 0 
55 0 0 0 0 0 0 0 0 
56 0 0 0 0 0 0 0 0 
57 0 0 0 0 0 0 0 0 
58 1 0 0 0 0 0 0 0 
59 1 0 0 0 0 0 0 0 
60 1 0 0 0 0 0 0 0 
61 0 0 0 0 0 0 0 0 
62 1 0 0 0 0 0 0 0 
63 0 0 0 0 0 0 0 0 
64 1 0 0 0 0 0 0 0 
65 0 0 0 0 0 0 0 0 
66 1 0 0 0 0 0 0 0 
67 0 0 0 0 0 0 0 0 
68 1 0 0 0 0 0 0 0 
69 0 0 0 0 0 0 0 0 
70 1 0 0 0 0 0 0 0 
71 0 0 0 0 0 0 0 0 
72 1 0 0 0 0 0 0 0 
73 1 0 0 0 0 0 0 0 
74 1 0 0 0 0 0 0 0 
75 0 0 0 0 0 0 0 0 
76 0 0 0 0 0 0 0 0 
77 0 0 0 0 0 0 0 0 
78 0 0 0 0 0 0 0 0 
79 1 0 0 0 0 0 0 0 
80 1 0 0 1 0 0 0 0 
81 0 0 0 0 0 0 0 0 
82 1 0 0 1 0 0 0 0 
83 1 0 0 0 0 0 0 0 
84 1 0 0 0 0 0 0 0 
85 1 0 0 0 0 0 0 0 
86 1 1 1 1 1 1 1 1 
87 1 1 1 1 0 0 1 0 
88 0 0 0 0 0 0 0 0 
89 0 0 0 0 0 0 0 0 
90 1 1 0 1 1 1 1 0 
91 1 1 1 0 1 1 0 0 
92 0 0 0 0 1 1 0 0 
93 1 0 1 0 0 0 0 1 
94 1 1 1 1 1 1 0 1 
95 1 0 0 0 0 0 0 1 
96 1 0 1 1 0 1 0 1 
97 1 0 1 0 0 0 0 1 
98 1 1 1 1 0 1 0 1 
99 1 1 1 1 0 0 0 0 
100 1 1 1 1 0 0 0 0 
101 1 0 0 0 0 0 0 0 
102 0 0 0 0 0 0 0 0 
103 1 0 0 0 0 0 0 0 
104 1 0 0 0 0 0 0 0 
105 0 0 0 0 0 0 0 0 
106 1 0 1 1 0 0 0 0 
107 1 0 0 0 0 1 0 0 
108 1 0 0 1 1 1 0 0 
109 1 0 0 1 1 1 0 0 
110 0 0 0 0 0 0 0 0 
111 0 0 0 0 0 0 0 0 
112 0 0 0 0 0 0 0 0 
113 1 0 0 1 1 1 0 0 
114 1 0 0 0 0 0 0 0 
115 0 0 0 0 0 0 0 0 
116 0 0 0 0 0 0 0 0 
117 0 0 0 0 0 0 0 0 
118 1 0 0 0 0 0 0 0 
119 0 0 0 0 0 0 0 0 
120 0 0 0 0 0 0 0 0 
121 0 0 0 0 0 0 0 0 
122 0 0 0 0 0 0 0 0 
123 0 0 0 0 0 0 0 0 
124 0 0 0 1 0 0 0 0 
125 0 0 0 0 0 1 0 0 
126 0 0 0 1 0 0 0 0 
