We/V = 3.58853773

sum{s in 101 .. SS} (Le[s] - 1/KK)/card(101 .. SS) = 0.0414117424

Le [*] :=
101 0.160470001   126 0.148645867   151 0.17632342    176 0.13087286
102 0.199654987   127 0.164406321   152 0.137036178   177 0.155427336
103 0.149774035   128 0.251388837   153 0.131256955   178 0.125276742
104 0.130860018   129 0.157707693   154 0.15630722    179 0.132480143
105 0.133954142   130 0.125         155 0.177453471   180 0.244131359
106 0.266553118   131 0.125         156 0.140372905   181 0.131106699
107 0.225215633   132 0.16686777    157 0.182277318   182 0.160861719
108 0.151161819   133 0.154245662   158 0.161109194   183 0.152245869
109 0.256661312   134 0.192325069   159 0.13295179    184 0.125
110 0.193081      135 0.172630189   160 0.134111885   185 0.131452946
111 0.159959847   136 0.142857143   161 0.170164136   186 0.178067388
112 0.134651343   137 0.155414829   162 0.226774442   187 0.171311097
113 0.135375169   138 0.125         163 0.161345504   188 0.242459261
114 0.159956151   139 0.151977844   164 0.156801715   189 0.228896267
115 0.126428807   140 0.285715809   165 0.171580105   190 0.136163798
116 0.145060068   141 0.188084209   166 0.193696607   191 0.125
117 0.163332954   142 0.150518022   167 0.204680184   192 0.126630857
118 0.161454016   143 0.165804446   168 0.159851245   193 0.148430193
119 0.159086805   144 0.170482028   169 0.125         194 0.143242618
120 0.144678513   145 0.248061412   170 0.143158937   195 0.155785772
121 0.193530325   146 0.125         171 0.189259588   196 0.127617653
122 0.202676356   147 0.183259472   172 0.17190098    197 0.215742127
123 0.142690711   148 0.153234277   173 0.213916517   198 0.176283973
124 0.161821651   149 0.247927056   174 0.182232122   199 0.177113787
125 0.14237344    150 0.129028617   175 0.185347832   200 0.133618732
;

