K=10, W/V=2.2375446, K=10, time:2.871

ca [*] :=
1  10
;

fragment allocation x on node k:

1    2    3    4    5    6    7    8    9    10    
0 1 1 0 1 0 0 0 0 0 0 
1 0 0 0 0 0 0 0 0 0 0 
2 0 1 0 0 0 0 0 0 0 0 
3 0 1 0 0 0 0 0 0 0 0 
4 0 1 0 0 0 0 0 0 0 0 
5 0 1 0 0 0 0 0 0 0 0 
6 0 1 0 1 0 0 0 0 0 0 
7 0 1 0 0 0 0 0 0 0 0 
8 1 1 0 0 0 0 0 0 0 0 
9 0 1 0 0 0 0 0 0 0 0 
10 0 1 0 0 0 0 0 0 0 0 
11 0 1 0 0 0 0 0 0 0 0 
12 0 1 0 0 0 0 0 0 0 0 
13 1 1 1 0 0 1 0 0 0 0 
14 1 0 0 0 0 0 0 0 0 0 
15 1 1 1 0 0 1 0 0 0 0 
16 1 1 0 0 0 0 0 0 0 0 
17 1 0 0 0 0 0 0 0 0 0 
18 1 0 0 0 0 0 0 0 0 0 
19 1 0 0 0 0 0 0 0 0 0 
20 1 0 0 0 0 0 0 0 0 0 
21 1 0 0 0 0 0 0 0 0 0 
22 1 1 1 1 1 1 1 1 1 1 
23 0 0 0 0 0 0 0 0 0 0 
24 1 1 1 1 1 1 1 1 1 1 
25 1 1 1 1 0 0 1 1 1 1 
26 1 1 1 0 0 1 0 0 0 1 
27 0 0 0 0 0 0 0 0 0 0 
28 1 1 1 1 1 1 0 1 1 0 
29 0 0 0 1 0 0 0 0 0 0 
30 1 1 1 1 0 1 0 1 1 0 
31 0 1 0 1 0 0 0 0 0 0 
32 1 1 0 1 0 0 0 0 1 0 
33 0 0 0 0 0 0 0 0 0 0 
34 0 0 0 0 0 0 0 0 0 0 
35 0 0 0 0 0 0 0 0 0 0 
36 1 0 0 0 0 0 0 0 0 1 
37 0 0 0 0 0 0 0 0 0 0 
38 0 0 0 0 0 0 0 0 0 0 
39 0 0 0 0 0 0 0 0 0 0 
40 0 0 0 0 0 0 0 0 0 0 
41 0 0 0 0 0 0 0 0 0 0 
42 0 0 0 0 0 0 0 0 0 0 
43 0 0 0 0 0 0 0 0 0 0 
44 0 0 0 0 0 0 0 0 0 0 
45 0 0 0 0 0 0 0 0 0 0 
46 0 0 0 0 0 0 0 0 0 0 
47 0 0 0 0 0 0 0 0 0 0 
48 0 0 0 0 0 0 0 0 0 0 
49 0 0 0 0 0 0 0 0 0 0 
50 0 1 1 0 0 1 0 0 0 0 
51 0 0 0 0 0 0 0 0 0 0 
52 0 1 1 0 0 1 0 0 0 0 
53 0 1 0 0 0 0 0 0 0 0 
54 0 0 0 0 0 0 0 0 0 0 
55 0 0 0 0 0 0 0 0 0 0 
56 0 0 0 0 0 0 0 0 0 0 
57 0 0 0 0 0 0 0 0 0 0 
58 0 1 0 0 0 0 0 0 0 0 
59 0 1 0 0 0 0 0 0 0 0 
60 0 1 0 0 0 0 0 0 0 0 
61 0 0 0 0 0 0 0 0 0 0 
62 0 1 0 0 0 0 0 0 0 0 
63 0 0 0 0 0 0 0 0 0 0 
64 0 1 0 0 0 0 0 0 0 0 
65 0 0 0 0 0 0 0 0 0 0 
66 0 1 0 0 0 0 0 0 0 0 
67 0 0 0 0 0 0 0 0 0 0 
68 0 1 0 0 0 0 0 0 0 0 
69 0 0 0 0 0 0 0 0 0 0 
70 0 1 0 0 0 0 0 0 0 0 
71 0 0 0 0 0 0 0 0 0 0 
72 0 1 0 0 0 0 0 0 0 0 
73 0 1 0 0 0 0 0 0 0 0 
74 0 1 0 0 0 0 0 0 0 0 
75 0 0 0 0 0 0 0 0 0 0 
76 0 0 0 0 0 0 0 0 0 0 
77 0 0 0 0 0 0 0 0 0 0 
78 0 0 0 0 0 0 0 0 0 0 
79 0 1 0 0 0 0 0 0 0 0 
80 0 1 0 0 0 0 0 0 0 0 
81 0 0 0 0 0 0 0 0 0 0 
82 0 1 0 0 0 0 0 0 0 0 
83 0 1 0 0 0 0 0 0 0 0 
84 0 1 0 0 0 0 0 0 0 0 
85 0 1 0 0 0 0 0 0 0 0 
86 0 1 1 1 0 1 0 1 1 1 
87 0 1 0 0 0 1 0 0 0 0 
88 0 0 0 0 0 0 0 0 0 0 
89 0 0 0 0 0 0 0 0 0 0 
90 0 1 1 0 0 1 0 1 0 1 
91 0 1 0 0 0 1 0 1 0 1 
92 0 0 0 0 0 0 0 1 0 1 
93 0 1 0 1 0 0 0 0 0 0 
94 0 1 1 1 0 0 0 1 1 1 
95 0 1 0 0 0 0 0 0 0 0 
96 0 1 0 1 0 0 0 0 1 0 
97 0 1 0 1 0 0 0 0 0 0 
98 0 1 1 1 0 0 0 1 1 0 
99 0 1 1 1 0 1 0 0 0 0 
100 0 1 1 1 0 1 0 0 0 0 
101 0 0 0 1 0 0 0 0 0 0 
102 0 0 0 0 0 0 0 0 0 0 
